p,q,r,p|q|r,r=>(p|q),(q&r)=>p,~p|q|r,A,p|q,
T,T,T,T,T,T,T,T,TRUE,
T,T,F,T,T,T,T,T,TRUE,
T,F,T,T,T,T,T,T,TRUE,
T,F,F,T,T,T,F,-------------,-------------,
F,T,T,T,T,F,-------------,-------------,-------------,
F,T,F,T,T,T,T,T,TRUE,
F,F,T,T,F,-------------,-------------,-------------,-------------,
F,F,F,F,-------------,-------------,-------------,-------------,-------------,
,,,,,,,,,
"This is a logical consequence because there is no row where all axioms are true, and the conjecture is false.",,,,,,,,,
